   lambda (micron)   Lnu (Lsun/Hz)  sigma Lnu (Lsun/Hz)
      1.585e+01      3.769e-04      1.885e-05
      1.595e+01      3.795e-04      1.898e-05
      1.604e+01      3.846e-04      1.923e-05
      1.613e+01      3.935e-04      1.968e-05
      1.623e+01      4.176e-04      2.088e-05
      1.632e+01      4.331e-04      2.450e-05
      2.434e+01      9.111e-04      4.555e-05
      2.500e+01      1.169e-03      5.844e-05
      4.100e+01      2.563e-03      2.092e-04
      5.800e+01      4.372e-03      2.186e-04
      6.000e+01      5.373e-03      2.686e-04
      6.222e+01      4.992e-03      2.496e-04
      7.800e+01      5.147e-03      2.574e-04
      1.000e+02      5.578e-03      2.789e-04
      1.022e+02      4.934e-03      2.960e-04
      1.410e+02      2.584e-03      1.292e-04
      4.500e+02      1.846e-04      6.334e-05
      8.000e+02      2.010e-05      2.871e-06
      3.259e+03      2.420e-06      3.691e-07
      3.300e+03      2.666e-06      3.281e-07
      9.369e+03      4.305e-06      2.461e-07
      1.224e+04      5.022e-06      2.511e-07
      2.012e+04      7.301e-06      3.650e-07
      2.039e+04      7.554e-06      3.777e-07
      2.802e+04      9.390e-06      4.695e-07
      5.996e+04      1.650e-05      8.251e-07
